polygon_index,tif_path_name
4114,../data/full_img_msk/img/img_zone26_0_0.tif
4115,../data/full_img_msk/img/img_zone26_0_0.tif
4116,../data/full_img_msk/img/img_zone26_0_0.tif
4117,../data/full_img_msk/img/img_zone26_0_0.tif
4118,../data/full_img_msk/img/img_zone26_0_0.tif
4119,../data/full_img_msk/img/img_zone26_0_0.tif
4120,../data/full_img_msk/img/img_zone26_0_0.tif
4121,../data/full_img_msk/img/img_zone26_0_0.tif
4122,../data/full_img_msk/img/img_zone26_0_0.tif
4123,../data/full_img_msk/img/img_zone26_0_0.tif
4124,../data/full_img_msk/img/img_zone26_0_0.tif
4125,../data/full_img_msk/img/img_zone26_0_0.tif
4126,../data/full_img_msk/img/img_zone26_0_0.tif
4127,../data/full_img_msk/img/img_zone26_0_0.tif
4128,../data/full_img_msk/img/img_zone26_0_0.tif
4129,../data/full_img_msk/img/img_zone26_0_0.tif
4130,../data/full_img_msk/img/img_zone26_0_0.tif
4131,../data/full_img_msk/img/img_zone26_0_0.tif
4132,../data/full_img_msk/img/img_zone26_0_0.tif
4133,../data/full_img_msk/img/img_zone26_0_0.tif
4134,../data/full_img_msk/img/img_zone26_0_0.tif
4135,../data/full_img_msk/img/img_zone26_0_0.tif
4136,../data/full_img_msk/img/img_zone26_0_0.tif
4137,../data/full_img_msk/img/img_zone26_0_0.tif
4138,../data/full_img_msk/img/img_zone26_0_0.tif
4139,../data/full_img_msk/img/img_zone26_0_0.tif
4140,../data/full_img_msk/img/img_zone26_0_0.tif
4141,../data/full_img_msk/img/img_zone26_0_0.tif
4142,../data/full_img_msk/img/img_zone26_0_0.tif
4143,../data/full_img_msk/img/img_zone26_0_0.tif
4144,../data/full_img_msk/img/img_zone26_0_0.tif
4145,../data/full_img_msk/img/img_zone26_0_0.tif
4146,../data/full_img_msk/img/img_zone26_0_0.tif
4147,../data/full_img_msk/img/img_zone26_0_0.tif
4148,../data/full_img_msk/img/img_zone26_0_0.tif
4149,../data/full_img_msk/img/img_zone26_0_0.tif
4150,../data/full_img_msk/img/img_zone26_0_0.tif
7514,../data/full_img_msk/img/img_zone1_0_0.tif
7515,../data/full_img_msk/img/img_zone1_0_0.tif
7516,../data/full_img_msk/img/img_zone1_0_0.tif
7517,../data/full_img_msk/img/img_zone1_0_0.tif
7518,../data/full_img_msk/img/img_zone1_0_0.tif
