mask_path,0,1,2,3,4,5,6
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_10.tif,,,,65536.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_11.tif,859.0,,,64677.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_12.tif,21331.0,,,44205.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_5.tif,15555.0,22468.0,27513.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_6.tif,18873.0,29158.0,17505.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_7.tif,24040.0,32392.0,9104.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_8.tif,33034.0,26022.0,6480.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_9.tif,46531.0,6729.0,1385.0,10891.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_11_10.tif,45904.0,,,19632.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_11_11.tif,61701.0,,,3835.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_2_11.tif,52409.0,260.0,,,,12867.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_2_12.tif,50444.0,2801.0,,,12291.0,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_2_13.tif,63253.0,,,,2283.0,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_3_10.tif,26510.0,,3663.0,,,35363.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_3_11.tif,13930.0,,8300.0,,,43306.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_3_13.tif,3090.0,24517.0,,,37929.0,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_3_14.tif,37508.0,14417.0,,,13611.0,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_3_9.tif,53351.0,,,,,12185.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_10.tif,406.0,32287.0,32843.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_11.tif,460.0,42557.0,11591.0,10928.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_12.tif,13149.0,37596.0,,14791.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_13.tif,12231.0,6901.0,,46404.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_14.tif,20864.0,11172.0,8475.0,25025.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_7.tif,28955.0,,34236.0,,,2345.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_8.tif,9888.0,,38025.0,,,17623.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_4_9.tif,8095.0,127.0,51914.0,,,5400.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_10.tif,,65536.0,,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_11.tif,7211.0,56076.0,,2249.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_12.tif,1666.0,38211.0,,25659.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_13.tif,,,,65536.0,,,
