mask_path,0,1,2,3,4,5,6
../data/patch64/msk/l123/zone96_0_0/msk_zone96_0_0_patch_65_49.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone100_0_0/msk_zone100_0_0_patch_28_18.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone121_1_0/msk_zone121_1_0_patch_52_95.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone75_2_3/msk_zone75_2_3_patch_106_121.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone20_0_0/msk_zone20_0_0_patch_59_66.tif,2697.0,,1399.0,,,,
../data/patch64/msk/l123/zone12_2_1/msk_zone12_2_1_patch_17_89.tif,,2421.0,1675.0,,,,
../data/patch64/msk/l123/zone120_0_0/msk_zone120_0_0_patch_94_85.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone25_2_1/msk_zone25_2_1_patch_131_48.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone136_1_1/msk_zone136_1_1_patch_102_9.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone17_0_0/msk_zone17_0_0_patch_35_34.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone19_1_0/msk_zone19_1_0_patch_137_115.tif,4092.0,,,,,4.0,
../data/patch64/msk/l123/zone25_3_0/msk_zone25_3_0_patch_2_59.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone6_0_0/msk_zone6_0_0_patch_19_70.tif,2540.0,,,,,1556.0,
../data/patch64/msk/l123/zone139_1_1/msk_zone139_1_1_patch_27_20.tif,4071.0,25.0,,,,,
../data/patch64/msk/l123/zone7_0_0/msk_zone7_0_0_patch_28_105.tif,4071.0,,25.0,,,,
../data/patch64/msk/l123/zone165_1_0/msk_zone165_1_0_patch_28_61.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone12_3_3/msk_zone12_3_3_patch_54_14.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone45_1_1/msk_zone45_1_1_patch_53_96.tif,2481.0,,1615.0,,,,
../data/patch64/msk/l123/zone169_0_1/msk_zone169_0_1_patch_53_19.tif,3120.0,,976.0,,,,
../data/patch64/msk/l123/zone19_0_0/msk_zone19_0_0_patch_30_23.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone74_1_2/msk_zone74_1_2_patch_24_77.tif,,,,1074.0,3022.0,,
../data/patch64/msk/l123/zone12_3_2/msk_zone12_3_2_patch_96_53.tif,3438.0,,,658.0,,,
../data/patch64/msk/l123/zone136_1_1/msk_zone136_1_1_patch_87_21.tif,,4096.0,,,,,
../data/patch64/msk/l123/zone51_0_1/msk_zone51_0_1_patch_68_86.tif,,115.0,,,,3981.0,
../data/patch64/msk/l123/zone75_2_3/msk_zone75_2_3_patch_128_72.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone78_9_7/msk_zone78_9_7_patch_107_87.tif,65.0,,4031.0,,,,
../data/patch64/msk/l123/zone96_1_1/msk_zone96_1_1_patch_35_66.tif,4044.0,,,,,52.0,
../data/patch64/msk/l123/zone165_1_0/msk_zone165_1_0_patch_95_46.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone25_2_1/msk_zone25_2_1_patch_15_90.tif,,4096.0,,,,,
../data/patch64/msk/l123/zone28_0_0/msk_zone28_0_0_patch_50_35.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone12_1_1/msk_zone12_1_1_patch_123_10.tif,512.0,,,3584.0,,,
../data/patch64/msk/l123/zone85_0_1/msk_zone85_0_1_patch_68_23.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone136_1_1/msk_zone136_1_1_patch_78_26.tif,,3800.0,,296.0,,,
../data/patch64/msk/l123/zone159_0_0/msk_zone159_0_0_patch_41_38.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone12_1_1/msk_zone12_1_1_patch_75_37.tif,661.0,783.0,,,,2652.0,
../data/patch64/msk/l123/zone17_0_2/msk_zone17_0_2_patch_85_104.tif,,2421.0,,1675.0,,,
../data/patch64/msk/l123/zone25_2_1/msk_zone25_2_1_patch_114_46.tif,87.0,,,4009.0,,,
../data/patch64/msk/l123/zone17_1_3/msk_zone17_1_3_patch_47_80.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone96_1_1/msk_zone96_1_1_patch_96_88.tif,338.0,,,3758.0,,,
../data/patch64/msk/l123/zone78_17_11/msk_zone78_17_11_patch_38_104.tif,,4096.0,,,,,
../data/patch64/msk/l123/zone143_0_1/msk_zone143_0_1_patch_58_45.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone74_1_1/msk_zone74_1_1_patch_114_108.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone19_1_0/msk_zone19_1_0_patch_37_89.tif,,4096.0,,,,,
../data/patch64/msk/l123/zone45_1_2/msk_zone45_1_2_patch_106_42.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone54_0_1/msk_zone54_0_1_patch_48_85.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone41_1_0/msk_zone41_1_0_patch_8_83.tif,1911.0,,,,,2185.0,
../data/patch64/msk/l123/zone100_0_0/msk_zone100_0_0_patch_21_36.tif,,1514.0,2582.0,,,,
../data/patch64/msk/l123/zone80_1_1/msk_zone80_1_1_patch_31_41.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone21_0_0/msk_zone21_0_0_patch_19_13.tif,,,4029.0,67.0,,,
../data/patch64/msk/l123/zone68_1_0/msk_zone68_1_0_patch_58_55.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone85_0_1/msk_zone85_0_1_patch_73_18.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone80_1_1/msk_zone80_1_1_patch_25_35.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone85_0_1/msk_zone85_0_1_patch_83_15.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone17_1_3/msk_zone17_1_3_patch_44_90.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone75_2_3/msk_zone75_2_3_patch_139_73.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone12_0_1/msk_zone12_0_1_patch_127_21.tif,,,,,,4096.0,
../data/patch64/msk/l123/zone147_4_4/msk_zone147_4_4_patch_65_125.tif,,4096.0,,,,,
../data/patch64/msk/l123/zone76_0_1/msk_zone76_0_1_patch_93_119.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone25_2_1/msk_zone25_2_1_patch_25_94.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone144_0_1/msk_zone144_0_1_patch_60_39.tif,3209.0,871.0,,,,16.0,
../data/patch64/msk/l123/zone139_1_1/msk_zone139_1_1_patch_132_82.tif,,,,2254.0,,1842.0,
../data/patch64/msk/l123/zone59_1_0/msk_zone59_1_0_patch_67_55.tif,,3455.0,,641.0,,,
../data/patch64/msk/l123/zone33_1_0/msk_zone33_1_0_patch_42_76.tif,222.0,,,3874.0,,,
../data/patch64/msk/l123/zone45_0_1/msk_zone45_0_1_patch_88_135.tif,,4096.0,,,,,
../data/patch64/msk/l123/zone85_0_0/msk_zone85_0_0_patch_97_42.tif,1617.0,,2226.0,253.0,,,
../data/patch64/msk/l123/zone59_1_1/msk_zone59_1_1_patch_128_116.tif,,1638.0,,2458.0,,,
../data/patch64/msk/l123/zone74_1_1/msk_zone74_1_1_patch_85_71.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone74_1_1/msk_zone74_1_1_patch_98_72.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone100_0_0/msk_zone100_0_0_patch_23_28.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone121_1_0/msk_zone121_1_0_patch_94_93.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone96_1_1/msk_zone96_1_1_patch_17_50.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone112_0_1/msk_zone112_0_1_patch_83_34.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone63_0_0/msk_zone63_0_0_patch_34_25.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone102_1_0/msk_zone102_1_0_patch_32_54.tif,,,,4096.0,,,
../data/patch64/msk/l123/zone25_1_3/msk_zone25_1_3_patch_10_73.tif,,,,,4096.0,,
../data/patch64/msk/l123/zone139_1_1/msk_zone139_1_1_patch_73_115.tif,,,,,,4096.0,
../data/patch64/msk/l123/zone139_1_1/msk_zone139_1_1_patch_38_73.tif,,4096.0,,,,,
../data/patch64/msk/l123/zone59_1_1/msk_zone59_1_1_patch_93_66.tif,,3474.0,,622.0,,,
../data/patch64/msk/l123/zone97_0_0/msk_zone97_0_0_patch_76_49.tif,,,,,,4096.0,
../data/patch64/msk/l123/zone120_0_0/msk_zone120_0_0_patch_59_78.tif,,,4096.0,,,,
../data/patch64/msk/l123/zone141_0_1/msk_zone141_0_1_patch_44_93.tif,3448.0,,,,,648.0,
