mask_path,0,1,2,3,4,5,6
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_10_10.tif,,,,65536.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_10.tif,,65536.0,,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_13.tif,,,,65536.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_6.tif,,,65536.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_7.tif,,,65536.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_8.tif,,8102.0,57434.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_12.tif,,56455.0,,9081.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_13.tif,,,,65536.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_14.tif,,,,65536.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_5.tif,,,54229.0,,,11307.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_6.tif,,,65536.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_7.tif,,,65536.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_8.tif,,54295.0,11241.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_6_9.tif,,65536.0,,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_12.tif,,59896.0,4303.0,1337.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_13.tif,,20.0,28038.0,37478.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_14.tif,,,40797.0,24739.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_4.tif,,,65147.0,,,389.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_7.tif,,,15006.0,50530.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_8.tif,,31508.0,3611.0,30417.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_9.tif,,65536.0,,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_5_9.tif,,53827.0,11709.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_7_11.tif,,65486.0,,,,50.0,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_8_4.tif,,,65536.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_8_7.tif,,3847.0,,61689.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_8_8.tif,,60497.0,,5039.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_8_9.tif,,47579.0,17957.0,,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_9_10.tif,,,22693.0,42843.0,,,
../data/patch256/msk/l123/zone100_0_0/msk_zone100_0_0_patch_9_11.tif,,,13191.0,52345.0,,,
