mask_path,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
../data/patch128/msk/l123/zone5_0_1/msk_zone5_0_1_patch_23_17.tif,,,,,,,,,,,,16384.0,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone162_0_1/msk_zone162_0_1_patch_43_51.tif,,,,,,,,,,,459.0,,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone172_0_0/msk_zone172_0_0_patch_17_14.tif,,,,,,,,,,,,,,,,,16384.0,,,,,,,,,
../data/patch128/msk/l123/zone127_0_0/msk_zone127_0_0_patch_9_17.tif,,,,,,,,,,,,,16384.0,,,,,,,,,,,,,
../data/patch128/msk/l123/zone4_0_0/msk_zone4_0_0_patch_11_27.tif,,,,2446.0,,2122.0,,,,,,,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone10_1_1/msk_zone10_1_1_patch_5_49.tif,,,,,,,,,,,,,,,,,952.0,,,,,,15432.0,,,
../data/patch128/msk/l123/zone78_10_8/msk_zone78_10_8_patch_24_5.tif,,16384.0,,,,,,,,,,,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone158_1_0/msk_zone158_1_0_patch_6_44.tif,,,,,,,,,,,,,,,,,,,16384.0,,,,,,,
../data/patch128/msk/l123/zone19_1_0/msk_zone19_1_0_patch_51_50.tif,,,,,,,,,,,,16384.0,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone97_0_0/msk_zone97_0_0_patch_40_34.tif,,,,,,,,,,,,,,,,,,,,,,16384.0,,,,
../data/patch128/msk/l123/zone17_1_3/msk_zone17_1_3_patch_25_41.tif,,,,,,,,,,,,,,,,,11603.0,,,,,54.0,,,,
../data/patch128/msk/l123/zone68_1_0/msk_zone68_1_0_patch_39_11.tif,13561.0,,,,,,,,,,,,306.0,,,,,,,,,,2508.0,,,
../data/patch128/msk/l123/zone12_3_2/msk_zone12_3_2_patch_24_56.tif,,,,,,,,,,,,,,,,,,,16384.0,,,,,,,
../data/patch128/msk/l123/zone47_0_1/msk_zone47_0_1_patch_25_52.tif,,,,,,,,,,,,,,,,,,,5998.0,,,,,,,
../data/patch128/msk/l123/zone160_0_0/msk_zone160_0_0_patch_21_18.tif,,,,,,,,,,,,,,,,,16384.0,,,,,,,,,
../data/patch128/msk/l123/zone96_1_1/msk_zone96_1_1_patch_21_30.tif,223.0,,,,,,,,,,,,,,,,,,,16161.0,,,,,,
../data/patch128/msk/l123/zone97_0_0/msk_zone97_0_0_patch_38_28.tif,,,,,,,,,,,,,,,,,,,,,,16384.0,,,,
../data/patch128/msk/l123/zone28_0_1/msk_zone28_0_1_patch_49_13.tif,,,,,,,,,,,,,,16384.0,,,,,,,,,,,,
../data/patch128/msk/l123/zone78_13_9/msk_zone78_13_9_patch_70_58.tif,,,,,,,,,,4375.0,,,,,,,10602.0,,,,,,,,,
../data/patch128/msk/l123/zone66_2_3/msk_zone66_2_3_patch_30_63.tif,,,,,,13414.0,,,,,,,2970.0,,,,,,,,,,,,,
../data/patch128/msk/l123/zone47_0_0/msk_zone47_0_0_patch_43_44.tif,,,,,,,,,,,,,,,,,,,,15889.0,,,495.0,,,
../data/patch128/msk/l123/zone147_3_4/msk_zone147_3_4_patch_42_19.tif,,,,,,,,,,,,,,,,,,,16384.0,,,,,,,
../data/patch128/msk/l123/zone30_0_0/msk_zone30_0_0_patch_41_8.tif,,,,,,,866.0,,,,,,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone30_0_1/msk_zone30_0_1_patch_38_18.tif,,7214.0,,,,,,,,,,,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone74_1_1/msk_zone74_1_1_patch_59_44.tif,,,,,,,,,,,,,,,,,16384.0,,,,,,,,,
../data/patch128/msk/l123/zone147_3_5/msk_zone147_3_5_patch_73_26.tif,,,,,,,,,,,16344.0,,,,,,40.0,,,,,,,,,
../data/patch128/msk/l123/zone12_3_2/msk_zone12_3_2_patch_19_66.tif,,,,,,,,,,,,,,4702.0,,,,,2448.0,,,3019.0,,,,
../data/patch128/msk/l123/zone170_3_4/msk_zone170_3_4_patch_68_38.tif,,,,,,,,,,,,,,,,,,,,,8847.0,,,,,
../data/patch128/msk/l123/zone25_2_1/msk_zone25_2_1_patch_64_47.tif,,,,,,,,,,,,,16384.0,,,,,,,,,,,,,
../data/patch128/msk/l123/zone59_0_0/msk_zone59_0_0_patch_17_29.tif,,,,,,,,,,,,,,16384.0,,,,,,,,,,,,
../data/patch128/msk/l123/zone14_1_0/msk_zone14_1_0_patch_39_11.tif,,,,,,,16384.0,,,,,,,,,,,,,,,,,,,
../data/patch128/msk/l123/zone12_3_2/msk_zone12_3_2_patch_51_30.tif,,,,,,,,,,,,,,,,,,,15791.0,,,,,,,
